Language,Original,English,French,Spanish,Italian,German,Russian,Polish,Czech,Hungarian,Japanese
STR_DZ_CFGFACTIONCLASSES_DZ_OPFOR_MILITIA0,,,,,,,,,,,
STR_DZ_CFGFACTIONCLASSES_DZ_OPFOR_ARMY0,,,,,,,,,,,
STR_DSS_MAKAROV,Semi-automatic pistol <br/>Caliber: 9x18mm,Semi-automatic pistol <br/>Caliber: 9x18mm,Pistolet semi-automatique <br/>Calibre : 9x18 mm,Pistola semiautomática <br/>Calibre: 9x18 mm,Pistola semiautomatica <br/>Calibro: 9x18 mm,Halbautomatische Pistole <br/>Kaliber: 9x18mm,Полуавтоматический пистолет <br/>Патрон: 9x18мм,Pistolet samopowtarzalny <br/>Kaliber: 9x18mm,Poloautomatická pistole <br/>Kalibr: 9x19mm,Félautomata pisztoly <br/> Kaliber: 9x19mm,Semi-automatic pistol <br/>Caliber: 9x18mm
STR_DN_VEHICLES,Vehicles,Vehicles,Véhicules,Vehículos,Veicoli,Fahrzeuge,Техника,Pojazdy,Vozdila,Járművek,車両
STR_DN_TANKS,Tanks,Tanks,Chars,Tanques,Carri armati,Panzer,Танки,Czołgi,Tanky,Harckocsik,戦車
STR_DZ_CFGVEHICLECLASSES_VEHICLES0,,,,,,,,,,,
STR_DN_UNKNOWNS,Unknown,Unknown,Inconnue,Desconocido,Sconosciuto,Unbekannt,Неизвестно,Nieznany,Nezámí,Ismeretlen,不明
STR_DZ_CFGVEHICLECLASSES_HELICOPTERS_HEAVY0,,,,,,,,,,,
STR_DZ_CFGVEHICLECLASSES_SHIPS0,,,,,,,,,,,
STR_DZ_CFGVEHICLECLASSES_HELICOPTERS_LIGHT0,,,,,,,,,,,
STR_DZ_CFGVEHICLECLASSES_HELICOPTERS_MEDIUM0,,,,,,,,,,,
STR_DN_WRECKS,Wrecks,Wrecks,Épaves,Restos,Rottami,Wracks,Обломки,Wraki,Vraky,Roncsok,残骸
STR_DZ_CFGVEHICLECLASSES_AIRCRAFT0,,,,,,,,,,,
STR_DN_TRAINING,Objects (Training),Objects (Training),Objets (instruction),Objetos (instrucción),Oggetti (addestramento),Objekte (Training),Обучение,Przedmioty (Szkolenie),Objekty (trénink),Célpontok (kiképzés),オブジェクト（訓練）
STR_DN_WOMEN,Women,Women,Femmes,Mujeres,Donne,Frauen,Женщины,Kobiety,Ženy,Nő,女性
STR_DN_STATIC,Static,Static,Statique,Estático,Statico,Statisch,Статичные объекты,Statyczne,Statické,Statikus,静的
STR_DN_TARGETS,Targets,Targets,Cibles,Objetivos,Obiettivi,Ziele,Цели,Cele,Cíle,Célpontok,ターゲット
STR_DN_MODULES,Modules,Modules,Modules,Módulos,Moduli,Module,Модули,Moduły,Moduly,Modulok,モジュール
STR_DN_SIGNS,Objects (Signs),Objects (Signs),Objets (panneaux),Objetos (señales),Oggetti (simboli),Objekte (Schilder),Знаки,Przedmioty (Znaki),Objekty (značky),Célpontok (táblák),オブジェクト（標識）
STR_ACTION_THROTTLE3_IDLE_TIP,<br /><t size='0.64'>Throttle idle (engine 3)</t>,<br /><t size='0.64'>Throttle idle (engine 3)</t>,<br /><t size=’0.64’>Régime au ralenti (moteur n°3)</t>,<br /><t size='0.64'>Palanca de gas al ralentí (motor 3)</t>,<br /><t size='0.64'>Manetta al minimo (motore 3)</t>,<br /><t size='0.64'>Gasgriff auf Leerlauf (Triebwerk 3)</t>,<br /><t size='0.64'>Throttle idle (engine 3)</t>,<br /><t size='0.64'>Obroty jałowe (silnik 3)</t>,<br /><t size='0.64'>Škrtící klapka na volnoběh (motor 3)</t>,<br /><t size='0.64'>Throttle idle (engine 3)</t>,<br /><t size='0.64'>スロットル：アイドル（エンジン3）</t>
STR_ACTION_THROTTLE3_OFF_TIP,<br /><t size='0.64'>Throttle closed (engine 3)</t>,<br /><t size='0.64'>Throttle closed (engine 3)</t>,<br /><t size=’0.64’>Régime coupé (moteur n°3)</t>,<br /><t size='0.64'>Cerrar palanca de gas (motor 3)</t>,<br /><t size='0.64'>Manetta chiusa (motore 3)</t>,<br /><t size='0.64'>Gasgriff geschlossen (Triebwerk 3)</t>,<br /><t size='0.64'>Throttle closed (engine 3)</t>,<br /><t size='0.64'>Przepustnica zamknięta (silnik 3)</t>,<br /><t size='0.64'>Škrtící klapka uzavřena (motor 3)</t>,<br /><t size='0.64'>Throttle closed (engine 3)</t>,<br /><t size='0.64'>スロットル：オフ（エンジン3）</t>
STR_ACTION_BRAKE_ON_TIP,<br /><t size='0.64'>Wheel brake on</t>,<br /><t size='0.64'>Wheel brake on</t>,<br /><t size=’0.64’>Freins activés</t>,<br /><t size='0.64'>Activar freno de ruedas</t>,<br /><t size='0.64'>Freno di stazionamento attivato</t>,<br /><t size='0.64'>Radbremse an</t>,<br /><t size='0.64'>Wheel brake on</t>,<br /><t size='0.64'>Hamulce kół wł.</t>,<br /><t size='0.64'>Zabrzdit kola </t>,<br /><t size='0.64'>Wheel brake on</t>,<br /><t size='0.64'>車輪ブレーキ：オン</t>
STR_ACTION_THROTTLE3_FULL_TIP,<br /><t size='0.64'>Throttle full (engine 3)</t>,<br /><t size='0.64'>Throttle full (engine 3)</t>,<br /><t size=’0.64’>Plein régime (moteur n°3)</t>,<br /><t size='0.64'>Palanca de gas a fondo (motor 3)</t>,<br /><t size='0.64'>Manetta al massimo (motore 3)</t>,<br /><t size='0.64'>Gasgriff auf volle Leistung (Triebwerk 3)</t>,<br /><t size='0.64'>Throttle full (engine 3)</t>,<br /><t size='0.64'>Pełna przepustnica (silnik 3)</t>,<br /><t size='0.64'>Škrtící klapka na plný výkon (motor 3) </t>,<br /><t size='0.64'>Throttle full (engine 3)</t>,<br /><t size='0.64'>スロットル：フル（エンジン3）</t>
STR_CFG_FACES_DEFAULT,Default face,Default face,Visage par défaut,Cara predeterminada,Volto predefinito,Standardgesicht,По умолчанию,Domyślna twarz,Výchozí tvář,Alapértelmezett arc,デフォルトの顔
STR_ACTION_BRAKE_OFF_TIP,<br /><t size='0.64'>Wheel brake off</t>,<br /><t size='0.64'>Wheel brake off</t>,<br /><t size=’0.64’>Freins désactivés</t>,<br /><t size='0.64'>Desactivar freno de ruedas</t>,<br /><t size='0.64'>Freno di stazionamento disattivato</t>,<br /><t size='0.64'>Radbremse aus</t>,<br /><t size='0.64'>Wheel brake off</t>,<br /><t size='0.64'>Hamulce kół wył.</t>,<br /><t size='0.64'>Odbrzdit kola </t>,<br /><t size='0.64'>Wheel brake off</t>,<br /><t size='0.64'>車輪ブレーキ：オフ</t>
STR_FN_ANIMALHEAD_DEFAULT,animal,animal,animal,animal,animale,Tier,животное,zwierzę,zvíře,állat,animal
STR_CFG_FACES_CUSTOM,Custom face,Custom face,Visage personnalisé,Cara personalizada,Volto personalizzato,Individuelles Gesicht,Особое лицо,Stworzona twarz,Vlastní tvář,Egyedi arc,Custom face
STR_ACTION_STARTER3_OFF_TIP,<br /><t size='0.64'>Starter off (engine 3)</t>,<br /><t size='0.64'>Starter off (engine 3)</t>,<br /><t size=’0.64’> Démarreur désactivé (moteur n°3)</t>,<br /><t size='0.64'>Estárter apagado (motor 3)</t>,<br /><t size='0.64'>Starter spento (motore 3)</t>,<br /><t size='0.64'>Starter aus (Triebwerk 3)</t>,<br /><t size='0.64'>Starter off (engine 3)</t>,<br /><t size='0.64'>Rozrusznik wył. (silnik 3)</t>,<br /><t size='0.64'>Vypnout startér (motor 1) </t>,<br /><t size='0.64'>Starter off (engine 3)</t>,<br /><t size='0.64'>スターター：オフ（エンジン3）</t>
STR_ACTION_STARTER3_ON_TIP,<br /><t size='0.64'>Starter on (engine 3)</t>,<br /><t size='0.64'>Starter on (engine 3)</t>,<br /><t size=’0.64’>Démarreur activer (moteur n°3)</t>,<br /><t size='0.64'>Encender estárter (motor 3)</t>,<br /><t size='0.64'>Starter acceso (motore 3)</t>,<br /><t size='0.64'>Starter an (Triebwerk 3)</t>,<br /><t size='0.64'>Starter on (engine 3)</t>,<br /><t size='0.64'>Rozrusznik wł. (silnik 3)</t>,<br /><t size='0.64'>Zapnout startér (motor 1) </t>,<br /><t size='0.64'>Starter on (engine 3)</t>,<br /><t size='0.64'>スターター：オン（エンジン3）</t>
STR_ACTION_THROTTLE1_IDLE_TIP,<br /><t size='0.64'>Throttle idle (engine 1)</t>,<br /><t size='0.64'>Throttle idle (engine 1)</t>,<br /><t size=’0.64’>Régime au ralenti (moteur n°1)</t>,<br /><t size='0.64'>Palanca de gas a ralentí (motor 1)</t>,<br /><t size='0.64'>Manetta al minimo (motore 1)</t>,<br /><t size='0.64'>Gasgriff auf Leerlauf (Triebwerk 1)</t>,<br /><t size='0.64'>Throttle idle (engine 1)</t>,<br /><t size='0.64'>Obroty jałowe (silnik 1)</t>,<br /><t size='0.64'>Škrtící klapka na volnoběh (motor 1) </t>,<br /><t size='0.64'>Throttle idle (engine 1)</t>,<br /><t size='0.64'>スロットル：アイドル（エンジン1）</t>
STR_ACTION_THROTTLE1_OFF_TIP,<br /><t size='0.64'>Throttle closed (engine 1)</t>,<br /><t size='0.64'>Throttle closed (engine 1)</t>,<br /><t size=’0.64’>Régime coupé (moteur n°1)</t>,<br /><t size='0.64'>Cerrar palanca de gas (motor 1)</t>,<br /><t size='0.64'>Manetta chiusa (motore 1)</t>,<br /><t size='0.64'>Gasgriff geschlossen (Triebwerk 1)</t>,<br /><t size='0.64'>Throttle closed (engine 1)</t>,<br /><t size='0.64'>Przepustnica zamknięta (silnik 1)</t>,<br /><t size='0.64'>Škrtící klapka zavřená (motor 1) </t>,<br /><t size='0.64'>Throttle closed (engine 1)</t>,<br /><t size='0.64'>スロットル：オフ（エンジン1）</t>
STR_ACTION_THROTTLE2_OFF_TIP,<br /><t size='0.64'>Throttle closed (engine 2)</t>,<br /><t size='0.64'>Throttle closed (engine 2)</t>,<br /><t size=’0.64’>Régime coupé (moteur n°2)</t>,<br /><t size='0.64'>Cerrar palanca de gas (motor 2)</t>,<br /><t size='0.64'>Manetta chiusa (motore 2)</t>,<br /><t size='0.64'>Gasgriff geschlossen (Triebwerk 2)</t>,<br /><t size='0.64'>Throttle closed (engine 2)</t>,<br /><t size='0.64'>Przepustnica zamknięta (silnik 2)</t>,<br /><t size='0.64'>Uzavřít škrtící klapku (motor 2) </t>,<br /><t size='0.64'>Throttle closed (engine 2)</t>,<br /><t size='0.64'>スロットル：オフ（エンジン2）</t>
STR_ACTION_THROTTLE1_FULL_TIP,<br /><t size='0.64'>Throttle full (engine 1)</t>,<br /><t size='0.64'>Throttle full (engine 1)</t>,<br /><t size=’0.64’>Plein régime (moteur n°1)</t>,<br /><t size='0.64'>Palanca de gas a fondo (motor 1)</t>,<br /><t size='0.64'>Manetta al massimo (motore 1)</t>,<br /><t size='0.64'>Gasgriff auf volle Leistung (Triebwerk 1)</t>,<br /><t size='0.64'>Throttle full (engine 1)</t>,<br /><t size='0.64'>Pełna przepustnica (silnik 1)</t>,<br /><t size='0.64'>Škrtící klapka na plný výkon (motor 1) </t>,<br /><t size='0.64'>Throttle full (engine 1)</t>,<br /><t size='0.64'>フル・スロットル（エンジン1）</t>
STR_ACTION_THROTTLE2_FULL_TIP,<br /><t size='0.64'>Throttle full (engine 2)</t>,<br /><t size='0.64'>Throttle full (engine 2)</t>,<br /><t size=’0.64’>Plein régime (moteur n°2)</t>,<br /><t size='0.64'>Palanca de gas a fondo (motor 2)</t>,<br /><t size='0.64'>Manetta al massimo (motore 2)</t>,<br /><t size='0.64'>Gasgriff auf volle Leistung (Triebwerk 2)</t>,<br /><t size='0.64'>Throttle full (engine 2)</t>,<br /><t size='0.64'>Pełna przepustnica (silnik 2)</t>,<br /><t size='0.64'>Škrtící klapka na plný výkon (motor 1) </t>,<br /><t size='0.64'>Throttle full (engine 2)</t>,<br /><t size='0.64'>スロットル：フル（エンジン2）</t>
STR_ACTION_THROTTLE2_IDLE_TIP,<br /><t size='0.64'>Throttle idle (engine 2)</t>,<br /><t size='0.64'>Throttle idle (engine 2)</t>,<br /><t size=’0.64’>Régime au ralenti (moteur n°2)</t>,<br /><t size='0.64'>Palanca de gas al ralentí (motor 2)</t>,<br /><t size='0.64'>Manetta al minimo (motore 2)</t>,<br /><t size='0.64'>Gasgriff auf Leerlauf (Triebwerk 2)</t>,<br /><t size='0.64'>Throttle idle (engine 2)</t>,<br /><t size='0.64'>Obroty jałowe (silnik 2)</t>,<br /><t size='0.64'>Škrtící klapka na volnoběh (motor 2) </t>,<br /><t size='0.64'>Throttle idle (engine 2)</t>,<br /><t size='0.64'>スロットル：アイドル（エンジン2）</t>
STR_LOCATION_SHAKHOVKA,Shakhovka,Shakhovka,Shakhovka,Shakhovka,Shakhovka,Shakhovka,Шаховка,Szachowka,Šachovka,Sakovka,Shakhovka
STR_LOCATION_DOLINA,Dolina,Dolina,Dolina,Dolina,Dolina,Dolina,Долина,Dolina,Dolina,Dolina,Dolina
STR_LOCATION_ORLOVETS,Orlovets,Orlovets,Orlovets,Orlovets,Orlovets,Orlovets,Орловец,Orłowiec,Orlovec,Orlovec,Orlovets
STR_LOCATION_BOR,Bor,Bor,Bor,Bor,Bor,Bor,Бор,Bor,Bor,Bor,Bor
STR_LOCATION_GORKA,Gorka,Gorka,Gorka,Gorka,Gorka,Gorka,Горка,Gorka,Gorka,Gorka,Gorka
STR_LOCATION_NOVYSOBOR,Novy Sobor,Novy Sobor,Novy Sobor,Novy Sobor,Novy Sobor,Novy Sobor,Новый Собор,Nowy Sobor,Nový Sobor,Novi Szobor,Novy Sobor
STR_LOCATION_KABANINO,Kabanino,Kabanino,Kabanino,Kabanino,Kabanino,Kabanino,Кабанино,Kabanino,Kabanino,Kabanino,Kabanino
STR_LOCATION_MOGILEVKA,Mogilevka,Mogilevka,Mogilevka,Mogilevka,Mogilevka,Mogilevka,Могилевка,Mogilewka,Mogilevka,Mogilevka,Mogilevka
STR_LOCATION_CHERNOGORSK,Chernogorsk,Chernogorsk,Tchernogorsk,Chernogorsk,Chernogorsk,Chernogorsk,Черногорск,Czernogorsk,Černogorsk,Csernogorszk,Chernogorsk
STR_LOCATION_ELEKTROZAVODSK,Elektrozavodsk,Elektrozavodsk,Elektrozavodsk,Elektrozavodsk,Elektrozavodsk,Elektrozavodsk,Электрозаводск,Elektrozawodzk,Elektrozavodsk,Elektrozavodszk,Elektrozavodsk
STR_LOCATION_TULGA,Tulga,Tulga,Tulga,Tulga,Tulga,Tulga,Тулга,Tulga,Tulga,Tulga,Tulga
STR_LOCATION_SOLNICHNIY,Solnichniy,Solnichniy,Solnitchniy,Solnichniy,Solnichniy,Solnichniy,Солнечный,Sołniczny,Solněčnyj,Szolnicsnij,Solnichniy
STR_LOCATION_BEREZINO,Berezino,Berezino,Berezino,Berezino,Berezino,Berezino,Березино,Berezino,Berezino,Berezino,Berezino
STR_LOCATION_STARYSOBOR,Stary Sobor,Stary Sobor,Stary Sobor,Stary Sobor,Stary Sobor,Stary Sobor,Старый Собор,Stary Sobor,Starý Sobor,Sztari Szobor,Stary Sobor
STR_LOCATION_MSTA,Msta,Msta,Msta,Msta,Msta,Msta,Мста,Msta,Msta,Mszta,Msta
STR_LOCATION_STAROYE,Staroye,Staroye,Staroye,Staroye,Staroye,Staroye,Старое,Staroje,Staroje,Sztaroje,Staroye
STR_DN_SEDAN,Sedan,Sedan,Berline,Sedán,Berlina,Limousine,Седан,Sedan,Sedan,Négyajtós autó,Sedan
STR_DN_HATCHBACK,Old hatchback,Old hatchback,Voiture avec hayon,Liftback,Utilitaria,Alte Limousine,Старый хэтчбек,Stary hatchback,Starý hatchback,Kupé,Old hatchback
STR_DN_TRACTOR,Tractor,Tractor,Tracteur,Tractor,Trattore,Traktor,Трактор,Ciągnik,Traktor,Traktor,Tractor
STR_DN_ADD_DATSUN3,Pick-Up (Tube frame),Pick-Up (Tube frame),Pick-Up,Pickup (abierto),Pick-Up,Pick-Up (Rohrrahmen),Пикап (трубчатая рама),Pick-Up (Rama),Pick-Up (rám),Pick-up (bukókerettel),Pick-Up (Tube frame)
STR_DN_WALL_LAMP,Wall lamp,Wall lamp,Lampe murale,Lámpara de pared,Lampada da muro,Wandlampe,Настенная лампа,Lampa naścienna,Nástěnná lampa,Fali lámpa,Wall lamp
STR_DN_HILUX3,Off-road (white),Off-road (white),Tout-terrain 3,Todoterreno (blanco),Fuoristrada 3,Geländewagen weiß,Внедорожник (белый),Terenówka (biała),Offroad (bílý),Terepjáró (fehér),Off-road (white)
STR_DN_HILUX2,Off-road (red),Off-road (red),Tout-terrain 2,Todoterreno (rojo),Fuoristrada 2,Geländewagen rot,Внедорожник (красный),Terenówka (czerwona),Offroad (červený),Terepjáró (piros),Off-road (red)
STR_DN_HILUX,Off-road (tan),Off-road (tan),Tout-terrain,Todoterreno (marrón),Fuoristrada,Geländewagen hellbraun,Внедорожник (бежевый),Terenówka (brązowa),Offroad (žlutohnědý),Terepjáró (sárgásbarna),Off-road (tan)
STR_DN_SKODA_BLUE,Car (blue),Car (blue),Voiture (bleue),Coche (azul),Auto (blu),Auto blau,Машина (синяя),Samochód (niebieski),Vůz (modrý),Kocsi (kék),Car (blue)
STR_DN_SKODA_WHITE,Car (white),Car (white),Voiture (blanche),Coche (blanco),Auto (bianca),Auto weiß,Машина (белая),Samochód (biały),Vůz (bílý),Kocsi (fehér),Car (white)
STR_DN_SKODA,Car,Car,Voiture,Coche,Auto,Auto,Машина,Samochód,Vůz,Kocsi,Car
STR_DN_URAL_CIV2,Ural (Civil 2),Ural (Civil 2),Ural (civil 2),Ural (civil 2),Ural (civile 2),Ural (zivil 2),Урал-4320 (гражд. синий),Ural (cywilny 2),Ural (civilní 2),Ural (civil 2),Ural (Civil 2)
STR_DN_ADD_DATSUN2,Pick-Up (Covered),Pick-Up (Covered),Pick-Up (Couvert),Pickup (cubierto),Pick-Up,Pick-up (Plane),Пикап (крытый),Pick-Up (Zakryty),Pick-Up (krytý),Pick-up (fedett),Pick-Up (Covered)
STR_DN_ADD_DATSUN,Pick-Up,Pick-Up,Pick-up,Pick-Up,Pick-up,Pickup,Пикап,Pick-Up,Pick-Up,Pick-Up,Pick-Up
STR_DN_SKODA_GREEN,Car (green),Car (green),Voiture (verte),Coche (verde),Auto (verde),Auto grün,Машина (зеленая),Samochód (zielony),Vůz (zelený),Kocsi (zöld),Car (green)
STR_DN_SKODA_RED,Car (red),Car (red),Voiture (rouge),Coche (rojo),Auto (rossa),Auto rot,Машина (красная),Samochód (czerwony),Vůz (červený),Kocsi (piros),Car (red)
STR_ACTION_ROTOR_BRAKE_ON_TIP,<br /><t size='0.64'>Rotor brake on</t>,<br /><t size='0.64'>Rotor brake on</t>,<br /><t size=’0.64’>Frein rotor activé</t>,<br /><t size='0.64'>Activar freno del rotor</t>,<br /><t size='0.64'>Freno rotore attivato</t>,<br /><t size='0.64'>Rotorbremse an</t>,<br /><t size='0.64'>Rotor brake on</t>,<br /><t size='0.64'>Hamulec wirnika wł.</t>,<br /><t size='0.64'>Zapnout rotorovou brzdu </t>,<br /><t size='0.64'>Rotor brake on</t>,<br /><t size='0.64'>ローターブレーキ：オン</t>
STR_ACTION_ROTOR_BRAKE_OFF_TIP,<br /><t size='0.64'>Rotor brake off</t>,<br /><t size='0.64'>Rotor brake off</t>,<br /><t size=’0.64’>Frein rotor désactivé</t>,<br /><t size='0.64'>Liberar freno del rotor</t>,<br /><t size='0.64'>Freno rotore disattivato</t>,<br /><t size='0.64'>Rotorbremse aus</t>,<br /><t size='0.64'>Rotor brake off</t>,<br /><t size='0.64'>Hamulec wirnika wył.</t>,<br /><t size='0.64'>Vypnout rotorovou brzdu </t>,<br /><t size='0.64'>Rotor brake off</t>,<br /><t size='0.64'>ローターブレーキ：オフ</t>
STR_ACTION_APU_ON_TIP,<br /><t size='0.64'>APU on</t>,<br /><t size='0.64'>APU on</t>,<br /><t size='0.64'>Groupe auxiliaire de puissance activé</t>,<br /><t size='0.64'>Encender unidad de potencia auxiliar</t>,<br /><t size='0.64'>APU attivata</t>,<br /><t size='0.64'>Hilfstriebwerk an</t>,<br /><t size='0.64'>APU on</t>,<br /><t size='0.64'>APU wł.</t>,<br /><t size='0.64'>PEJ zapnutá </t>,<br /><t size='0.64'>APU on</t>,<br /><t size='0.64'>APU：オン</t>
STR_ACTION_APU_OFF_TIP,<br /><t size='0.64'>APU off</t>,<br /><t size='0.64'>APU off</t>,<br /><t size='0.64'>Groupe auxiliaire de puissance désactivé</t>,<br /><t size='0.64'>Apagar unidad de potencia auxiliar</t>,<br /><t size='0.64'>APU spenta</t>,<br /><t size='0.64'>Hilfstriebwerk aus</t>,<br /><t size='0.64'>APU off</t>,<br /><t size='0.64'>APU wył.</t>,<br /><t size='0.64'>PEJ vypnutá </t>,<br /><t size='0.64'>APU off</t>,<br /><t size='0.64'>APU：オフ</t>
STR_ACTION_STARTER2_ON_TIP,<br /><t size='0.64'>Starter on (engine 2)</t>,<br /><t size='0.64'>Starter on (engine 2)</t>,<br /><t size=’0.64’>Démarreur activer (moteur n°2)</t>,<br /><t size='0.64'>Encender estárter (motor 2)</t>,<br /><t size='0.64'>Starter acceso (motore 2)</t>,<br /><t size='0.64'>Starter an (Triebwerk 2)</t>,<br /><t size='0.64'>Starter on (engine 2)</t>,<br /><t size='0.64'>Rozrusznik wł. (silnik 2)</t>,<br /><t size='0.64'>Zapnout startér (motor 2) </t>,<br /><t size='0.64'>Starter on (engine 2)</t>,<br /><t size='0.64'>スターター：オン（エンジン2）</t>
STR_ACTION_STARTER2_OFF_TIP,<br /><t size='0.64'>Starter off (engine 2)</t>,<br /><t size='0.64'>Starter off (engine 2)</t>,<br /><t size=’0.64’>Démarreur désactivé (moteur n°2)</t>,<br /><t size='0.64'>Apagar estárter (motor 2)</t>,<br /><t size='0.64'>Starter spento (motore 2)</t>,<br /><t size='0.64'>Starter aus (Triebwerk 2)</t>,<br /><t size='0.64'>Starter off (engine 2)</t>,<br /><t size='0.64'>Rozrusznik wył. (silnik 2)</t>,<br /><t size='0.64'>Vypnout startér (motor 2) </t>,<br /><t size='0.64'>Starter off (engine 2)</t>,<br /><t size='0.64'>スターター：オフ（エンジン2）</t>
STR_ACTION_STARTER1_ON_TIP,<br /><t size='0.64'>Starter on (engine 1)</t>,<br /><t size='0.64'>Starter on (engine 1)</t>,<br /><t size=’0.64’>Démarreur activé (moteur n°1)</t>,<br /><t size='0.64'>Encender estárter (motor 1)</t>,<br /><t size='0.64'>Starter acceso (motore 1)</t>,<br /><t size='0.64'>Starter an (Triebwerk 1)</t>,<br /><t size='0.64'>Starter on (engine 1)</t>,<br /><t size='0.64'>Rozrusznik wł. (silnik 1)</t>,<br /><t size='0.64'>Zapnout startér (motor 1) </t>,<br /><t size='0.64'>Starter on (engine 1)</t>,<br /><t size='0.64'>スターター：オン（エンジン1）</t>
STR_ACTION_STARTER1_OFF_TIP,<br /><t size='0.64'>Starter off (engine 1)</t>,<br /><t size='0.64'>Starter off (engine 1)</t>,<br /><t size=’0.64’>Démarreur désactivé (moteur n°1)</t>,<br /><t size='0.64'>Apagar estárter (motor 1)</t>,<br /><t size='0.64'>Starter spento (motore 1)</t>,<br /><t size='0.64'>Starter aus (Triebwerk 1)</t>,<br /><t size='0.64'>Starter off (engine 1)</t>,<br /><t size='0.64'>Rozrusznik wył. (silnik 1)</t>,<br /><t size='0.64'>Vypnout startér (motor 1) </t>,<br /><t size='0.64'>Starter off (engine 1)</t>,<br /><t size='0.64'>スターター：オフ（エンジン1）</t>
STR_ACTION_LANDINGLIGHTS_OFF,Landing lights off,Landing lights off,Feux d’atterrissage éteints,Apagar luces de aterriz.,Luci d'atterraggio disattivate,Landelichter aus,Landing lights off,Światła lądowania wył.,Přistávací světla vypnutá,Landing lights off,着陸灯：オフ
STR_ACTION_LANDINGLIGHTS_OFF_TIP,<br /><t size='0.64'>Landing lights off</t>,<br /><t size='0.64'>Landing lights off</t>,<br /><t size=’0.64’>Feux d’atterrissage allumés</t>,<br /><t size='0.64'>Apagar luces de aterrizaje</t>,<br /><t size='0.64'>Luci d'atterraggio disattivate</t>,<br /><t size='0.64'>Landelichter aus</t>,<br /><t size='0.64'>Landing lights off</t>,<br /><t size='0.64'>Światła lądowania wył.</t>,<br /><t size='0.64'>Vypnout kolizní světla </t>,<br /><t size='0.64'>Landing lights off</t>,<br /><t size='0.64'>着陸灯：オフ</t>
STR_ACTION_LANDINGLIGHTS_ON,Landing lights on,Landing lights on,Feux d’atterrissage allumés,Encender luces de aterrizaje,Luci d'atterraggio attivate,Landelichter an,Landing lights on,Światła lądowania wł.,Přistávací světla zapnutá,Landing lights on,着陸灯：オン
STR_ACTION_LANDINGLIGHTS_ON_TIP,<br /><t size='0.64'>Landing lights on</t>,<br /><t size='0.64'>Landing lights on</t>,<br /><t size=’0.64’>Feux d’atterrissage allumer</t>,<br /><t size='0.64'>Encender luces de aterrizaje</t>,<br /><t size='0.64'>Luci d'atterraggio attivate</t>,<br /><t size='0.64'>Landelichter an</t>,<br /><t size='0.64'>Landing lights on</t>,<br /><t size='0.64'>Światła lądowania wł.</t>,<br /><t size='0.64'>Zapnout kolizní světla </t>,<br /><t size='0.64'>Landing lights on</t>,<br /><t size='0.64'>着陸灯：オン</t>
STR_ACTION_BATTERIES_ON_TIP,<br /><t size='0.64'>Batteries on</t>,<br /><t size='0.64'>Batteries on</t>,<br /><t size=’0.64’>Batteries activées</t>,<br /><t size='0.64'>Encender baterías</t>,<br /><t size='0.64'>Batterie attivate</t>,<br /><t size='0.64'>Batterien an</t>,<br /><t size='0.64'>Batteries on</t>,<br /><t size='0.64'>Akumulatory wł.</t>,<br /><t size='0.64'>Baterie zapnuté </t>,<br /><t size='0.64'>Batteries on</t>,<br /><t size='0.64'>バッテリー：オン</t>
STR_ACTION_BATTERIES_OFF_TIP,<br /><t size='0.64'>Batteries off</t>,<br /><t size='0.64'>Batteries off</t>,<br /><t size=’0.64’>Batteries désactivées</t>,<br /><t size='0.64'>Apagar baterías</t>,<br /><t size='0.64'>Batterie disattivate</t>,<br /><t size='0.64'>Batterien aus</t>,<br /><t size='0.64'>Batteries off</t>,<br /><t size='0.64'>Akumulatory wył.</t>,<br /><t size='0.64'>Baterie vypnuté </t>,<br /><t size='0.64'>Batteries off</t>,<br /><t size='0.64'>バッテリー：オフ</t>
STR_ACTION_COLLISIONLIGHTS_ON_TIP,<br /><t size='0.64'>Collision lights on</t>,<br /><t size='0.64'>Collision lights on</t>,<br /><t size=’0.64’>Feux anti-collision allumés</t>,<br /><t size='0.64'>Encender luces de colisión</t>,<br /><t size='0.64'>Luci anticollisione attivate</t>,<br /><t size='0.64'>Kollisionslichter an</t>,<br /><t size='0.64'>Collision lights on</t>,<br /><t size='0.64'>Światła antykolizyjne wł.</t>,<br /><t size='0.64'>Zapnout kolizní světla </t>,<br /><t size='0.64'>Collision lights on</t>,<br /><t size='0.64'>衝突防止灯：オン</t>
STR_ACTION_COLLISIONLIGHTS_OFF_TIP,<br /><t size='0.64'>Collision lights off</t>,<br /><t size='0.64'>Collision lights off</t>,<br /><t size=’0.64’>Feux anti-collision éteints</t>,<br /><t size='0.64'>Apagar luces de colisión</t>,<br /><t size='0.64'>Luci anticollisione disattivate</t>,<br /><t size='0.64'>Kollisionslichter aus</t>,<br /><t size='0.64'>Collision lights off</t>,<br /><t size='0.64'>Światła antykolizyjne wył.</t>,<br /><t size='0.64'>Vypnout kolizní světla </t>,<br /><t size='0.64'>Collision lights off</t>,<br /><t size='0.64'>衝突防止灯：オフ</t>
STR_DN_M240,M240,M240,M240,M240,M240,M240,M240,M240,M240,M240,M240
